word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
bestia;U;1.885;3.231;3.038;4.654;3.423;8.101;7.432;7.595;6.069;7.262;6.141;6.069;F;;
bestialski;U;1.111;5.444;5.000;5.111;5.296;10.732;7.994;8.438;8.254;8.197;8.708;7.994;A;;
besztaæ;A;1.423;3.654;2.462;3.038;2.269;7.504;5.368;6.669;6.188;6.860;4.664;4.664;N;;
bezbronny;U;1.444;3.481;4.296;5.444;2.148;8.869;7.603;6.822;5.647;8.535;6.808;5.647;F;;
bezcelowy;U;1.192;3.731;4.038;2.923;2.346;8.014;5.907;5.560;6.638;7.215;5.368;5.368;N;;
bezczeœciæ;U;1.154;4.923;4.231;3.577;4.500;9.432;6.688;7.182;7.810;7.082;7.123;6.688;A;;
bezdenny;F;2.269;1.577;1.923;2.500;1.385;5.582;6.419;6.073;5.412;6.639;3.010;3.010;N;;
bezduszny;U;1.269;4.462;4.462;3.962;4.462;9.518;7.334;7.239;7.826;7.396;7.444;7.239;S;;
bezdŸwiêczny;S;1.808;1.769;2.577;2.192;1.423;6.162;6.283;5.456;5.855;6.635;2.859;2.859;N;;
bezg³owy;D;1.481;1.963;2.370;3.222;3.926;7.557;7.237;6.907;6.123;5.286;4.880;4.880;N;;
bezimienny;S;1.385;2.038;3.692;3.308;1.538;7.642;7.241;5.363;5.964;7.587;4.548;4.548;N;;
bezinteresowny;U;4.346;1.923;1.731;2.000;1.269;3.676;6.855;7.160;6.904;7.514;4.690;3.676;H;;
bezkonfliktowy;U;4.462;1.462;1.654;1.769;1.346;3.326;7.148;6.977;6.850;7.262;4.208;3.326;H;;
bezksiê¿ycowy;U;2.000;1.370;2.185;1.667;1.259;5.571;6.321;5.391;6.023;6.438;2.191;2.191;N;;
bezpieczny;H;5.731;1.115;1.231;1.808;1.192;1.998;7.896;7.790;7.192;7.837;5.162;1.998;H;;
bezradny;U;1.115;4.308;4.692;4.115;2.385;8.982;6.579;6.075;6.742;8.116;6.531;6.075;S;;
bezsensowny;U;1.741;3.444;3.037;2.667;2.407;7.321;6.228;6.573;7.014;7.238;4.791;4.791;N;;
bezsilny;U;1.148;4.889;3.963;3.630;1.926;8.713;5.540;6.594;6.881;8.188;6.205;5.540;A;;
bezwartoœciowy;U;1.259;3.000;3.926;2.704;2.704;7.954;6.350;5.516;6.846;6.734;5.126;5.126;N;;
bêben;U;3.231;1.692;1.115;1.423;1.115;4.158;6.260;6.879;6.592;6.879;2.798;2.798;N;;
bêkart;U;1.115;3.654;3.538;2.885;2.808;8.119;6.065;6.211;6.840;6.871;5.079;5.079;N;;
biadoliæ;A;1.519;4.148;2.222;1.630;2.667;7.256;4.638;6.819;7.352;6.426;4.574;4.574;N;;
biblijny;N;2.231;1.500;1.423;1.692;1.615;5.303;6.167;6.302;6.059;6.061;2.289;2.289;N;;
bicz;U;1.500;3.192;2.846;4.462;3.577;8.188;7.103;7.338;5.833;6.733;5.725;5.725;N;;
biæ;U;1.385;4.654;3.885;4.538;3.654;9.111;6.664;7.400;6.810;7.556;6.896;6.664;A;;
biec;U;3.556;1.926;1.481;2.407;1.481;4.512;6.722;7.088;6.217;7.105;4.085;4.085;N;;
bieda;U;1.074;4.630;5.741;5.667;2.704;10.217;7.962;7.002;7.121;9.284;8.148;7.002;S;;
bierki;U;3.808;1.808;1.462;1.385;1.269;3.837;6.425;6.752;6.803;6.908;3.468;3.468;N;;
biesiada;U;5.000;1.885;1.385;1.846;1.692;2.930;7.037;7.509;7.116;7.197;4.922;2.930;H;;
bie¿nia;U;3.615;1.846;1.231;1.692;1.423;4.232;6.441;6.954;6.617;6.729;3.391;3.391;N;;
bikini;U;4.423;1.269;1.731;1.577;1.538;3.303;7.207;6.779;6.962;6.996;4.206;3.303;H;;
bilans;U;2.231;1.577;1.692;2.077;1.269;5.410;6.245;6.145;5.745;6.604;2.617;2.617;N;;
biskup;U;2.000;2.889;2.185;1.556;2.222;6.326;5.791;6.572;7.092;6.534;3.702;3.702;N;;
bitwa;U;2.370;3.593;2.926;3.963;2.407;7.191;6.475;7.057;6.159;7.522;5.843;5.843;N;;
biurowy;U;2.231;1.923;2.115;2.231;2.385;5.950;6.418;6.298;6.148;6.027;3.311;3.311;N;;
biust;H;5.444;1.296;1.444;1.370;1.111;2.205;7.633;7.522;7.548;7.769;4.813;2.205;H;;
bi¿uteria;U;3.538;1.538;1.308;1.154;1.423;3.869;6.633;6.859;6.989;6.738;3.216;3.216;N;;
blask;U;4.654;1.308;1.500;1.538;1.192;2.887;7.094;6.905;6.871;7.203;4.070;2.887;H;;
bliski;U;5.731;1.192;2.077;2.577;1.192;3.002;8.116;7.458;7.034;8.105;5.569;3.002;H;;
bliskoœæ;U;5.846;1.500;2.077;2.231;1.269;2.662;7.843;7.427;7.283;8.034;5.576;2.662;H;;
blizna;U;1.370;3.000;3.481;3.259;3.037;7.854;6.644;6.135;6.423;6.542;4.958;4.958;N;;
blondynka;U;4.154;1.577;1.462;1.269;1.308;3.366;6.751;6.840;7.055;7.019;3.787;3.366;H;;
bluzka;U;3.231;1.385;1.385;1.462;1.231;4.249;6.573;6.574;6.495;6.711;2.648;2.648;N;;
b³agalny;U;1.778;2.667;3.667;2.778;2.481;7.256;6.607;5.639;6.583;6.817;4.705;4.705;N;;
b³azen;U;2.038;2.500;2.769;1.577;2.423;6.308;6.149;5.788;7.010;6.173;4.146;4.146;N;;
b³¹d;U;1.269;4.692;4.269;4.115;2.269;8.897;6.226;6.750;6.810;8.258;6.434;6.226;A;;
b³ogos³awiæ;U;4.346;2.000;2.000;1.923;1.654;3.760;7.297;7.292;7.354;7.537;4.902;3.760;H;;
b³ogos³awiony;U;4.692;1.308;1.346;1.423;1.115;2.779;7.105;7.122;7.067;7.301;4.072;2.779;H;;
b³yskotliwy;U;4.769;1.346;1.385;1.462;1.192;2.731;7.103;7.069;7.016;7.234;4.061;2.731;H;;
bocian;U;4.385;1.077;1.308;1.423;1.269;3.016;7.239;7.006;6.910;7.076;3.741;3.016;H;;
bodziec;U;2.630;2.185;1.370;2.222;1.963;5.534;6.129;6.939;6.203;6.465;3.241;3.241;N;;
bogaty;U;4.593;2.370;1.704;1.704;1.926;3.827;6.801;7.372;7.405;7.218;4.898;3.827;H;;
bohaterski;U;4.500;1.615;1.731;1.577;1.115;3.153;6.856;6.744;6.903;7.331;4.261;3.153;H;;
bojaŸliwy;F;1.481;2.111;2.889;3.704;2.037;7.298;6.907;6.290;5.215;6.960;4.407;4.407;N;;
boleæ;U;1.115;4.077;4.769;4.692;2.538;9.273;7.213;6.657;6.713;8.467;6.884;6.657;S;;
bolesny;U;1.407;3.407;4.556;4.259;3.296;8.743;7.309;6.201;6.639;7.432;6.391;6.201;S;;
bomba;U;1.692;3.962;3.923;5.385;3.615;9.197;8.104;8.161;6.549;8.398;7.444;6.549;F;;
bombowiec;U;1.692;3.385;3.269;4.385;2.962;8.157;7.230;7.236;6.105;7.497;5.888;5.888;N;;
borsuk;N;2.269;1.500;1.500;1.846;1.577;5.317;6.305;6.305;5.976;6.237;2.382;2.382;N;;
bóbr;U;3.926;1.296;1.296;1.778;1.481;3.776;6.919;6.933;6.482;6.730;3.451;3.451;N;;
