word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
oœ;N;2.423;1.538;1.462;1.423;1.231;5.043;6.228;6.339;6.376;6.557;2.066;2.066;N;;
oœwiadczyny;U;4.923;1.346;1.692;3.038;1.231;3.591;7.759;7.468;6.195;7.872;5.166;3.591;H;;
otaczaæ;U;3.692;1.615;1.615;2.462;1.538;4.548;6.939;6.943;6.099;6.987;3.735;3.735;N;;
otrzymywaæ;U;4.923;1.269;1.423;1.808;1.192;2.753;7.267;7.143;6.815;7.330;4.330;2.753;H;;
otwieraæ;U;4.481;1.370;1.259;2.148;1.222;3.478;7.142;7.242;6.486;7.270;3.929;3.478;H;;
owad;D;1.407;2.444;1.667;2.852;3.630;7.301;6.428;7.189;6.171;5.341;4.278;4.278;N;;
owca;U;3.115;1.231;1.577;1.231;1.308;4.291;6.548;6.209;6.546;6.455;2.638;2.638;N;;
owdowieæ;U;1.077;3.731;5.769;4.731;2.423;9.628;7.929;5.890;7.165;8.812;7.271;5.890;S;;
owies;N;2.741;1.222;1.333;1.185;1.481;4.817;6.619;6.521;6.597;6.306;2.173;2.173;N;;
owocowy;H;5.115;1.154;1.115;1.154;1.346;2.145;7.354;7.390;7.354;7.149;4.339;2.145;H;;
o¿ywiony;U;3.926;1.741;1.519;1.741;1.593;3.833;6.538;6.780;6.570;6.682;3.783;3.783;N;;
pachnid³o;U;3.333;1.481;1.815;1.778;1.963;4.497;6.776;6.475;6.525;6.331;3.394;3.394;N;;
pachnieæ;H;5.296;1.185;1.259;1.407;1.370;2.270;7.565;7.530;7.390;7.362;4.682;2.270;H;;
pacjent;U;1.269;2.808;3.577;3.923;2.692;8.108;7.105;6.407;6.063;7.220;5.227;5.227;N;;
paczka;U;4.308;1.192;1.269;1.654;1.385;3.272;7.110;7.047;6.701;6.905;3.752;3.272;H;;
padlina;D;1.148;2.481;2.852;3.852;5.444;8.902;8.148;7.837;7.044;5.094;6.313;5.094;D;;
paj¹k;D;1.346;1.923;1.423;3.731;4.308;7.618;7.351;7.702;5.695;5.022;4.922;4.922;N;;
pakt;U;2.654;2.538;2.346;2.808;1.885;6.101;6.464;6.715;6.316;7.094;4.044;4.044;N;;
palarnia;U;2.115;3.192;2.308;2.538;4.231;7.312;6.979;7.763;7.563;5.724;5.647;5.647;N;;
palec;U;2.846;1.346;1.500;1.462;1.385;4.506;6.428;6.244;6.276;6.374;2.716;2.716;N;;
paliæ;U;2.385;3.577;2.885;2.654;3.769;7.221;6.796;7.419;7.556;6.452;5.946;5.946;N;;
palma;U;4.222;1.259;1.185;1.148;1.148;2.956;6.890;6.964;6.996;6.983;3.438;2.956;H;;
pa³ac;U;3.731;1.385;1.462;1.500;1.423;3.957;6.783;6.792;6.756;6.776;3.403;3.403;N;;
pa³aæ;U;3.769;1.615;1.500;1.500;1.346;3.754;6.526;6.647;6.616;6.740;3.432;3.432;N;;
pami¹tka;U;4.923;1.385;2.692;1.615;1.462;3.879;7.765;6.620;7.593;7.622;4.908;3.879;H;;
pan;U;2.423;1.769;1.808;2.038;1.692;5.466;6.303;6.278;6.026;6.289;3.009;3.009;N;;
panda;U;4.846;1.231;1.769;1.385;1.308;3.004;7.482;7.034;7.379;7.450;4.392;3.004;H;;
paniczny;F;1.385;2.808;3.038;4.923;2.769;8.378;7.436;7.253;5.147;7.455;5.713;5.147;F;;
panieñski;U;3.500;1.423;1.500;1.423;1.231;4.014;6.562;6.514;6.588;6.740;2.904;2.904;N;;
panika;F;1.259;3.074;2.556;4.741;2.741;8.252;6.884;7.266;4.958;7.161;5.529;4.958;F;;
panorama;U;4.115;1.192;1.654;1.385;1.077;3.525;7.048;6.712;6.941;7.149;3.457;3.457;N;;
panowaæ;U;4.111;2.333;1.741;2.630;2.037;4.492;6.770;7.252;6.433;7.019;4.653;4.492;H;;
panowanie;U;3.192;2.385;1.885;3.154;2.192;5.517;6.692;7.113;5.857;6.810;4.643;4.643;N;;
pantera;F;3.115;1.538;1.231;3.423;1.500;5.271;7.055;7.318;5.133;7.122;4.035;4.035;N;;
panuj¹cy;U;2.615;2.692;1.808;2.962;2.423;6.219;6.393;7.104;6.163;6.573;4.162;4.162;N;;
pañstwo;U;2.500;2.346;2.462;2.346;2.038;5.948;6.335;6.284;6.407;6.703;3.665;3.665;N;;
papieros;D;2.148;3.148;2.630;2.481;4.963;7.689;7.340;7.705;7.839;5.294;6.274;5.294;D;;
papie¿;U;3.654;1.577;1.538;1.231;1.538;4.028;6.766;6.787;7.081;6.714;3.609;3.609;N;;
paplaæ;A;1.962;3.692;1.731;1.962;3.077;6.902;5.027;7.123;6.956;5.869;4.608;4.608;N;;
paprykowy;U;4.192;1.462;1.269;1.462;1.346;3.264;6.764;6.907;6.772;6.876;3.593;3.264;H;;
papuga;U;4.115;1.538;1.385;1.769;1.423;3.780;6.849;7.012;6.716;6.966;3.783;3.780;H;;
para;U;5.423;1.423;1.846;1.808;1.115;2.798;7.629;7.308;7.336;7.877;4.881;2.798;H;;
paradoksalny;U;2.577;2.500;2.077;1.808;1.615;5.666;5.967;6.441;6.551;6.799;3.463;3.463;N;;
parasol;U;3.038;1.462;1.615;1.308;1.346;4.599;6.497;6.325;6.667;6.638;2.694;2.694;N;;
park;U;5.077;1.077;1.808;1.769;1.077;2.748;7.553;6.908;6.927;7.540;4.548;2.748;H;;
parlament;U;1.769;4.077;2.769;2.192;3.000;7.677;5.684;6.927;7.477;6.697;5.183;5.183;N;;
parowiec;U;3.154;1.692;1.577;2.115;1.500;4.979;6.770;6.812;6.338;6.904;3.196;3.196;N;;
partia;U;1.654;3.654;2.654;2.615;3.308;7.432;5.970;6.896;6.930;6.267;4.944;4.944;N;;
partner;U;5.346;2.154;1.962;2.423;1.231;3.352;7.282;7.423;7.023;7.962;5.356;3.352;H;;
partyzancki;U;2.385;2.115;3.269;3.269;1.615;6.402;7.013;5.910;5.935;7.285;4.407;4.407;N;;
Pary¿;H;5.154;1.115;1.385;1.462;1.038;2.396;7.527;7.307;7.223;7.590;4.373;2.396;H;;
pas;U;1.462;1.808;1.769;2.462;1.731;6.414;6.198;6.283;5.524;6.331;2.532;2.532;N;;
pasek;N;1.926;1.889;1.778;2.074;1.519;5.975;6.276;6.378;6.050;6.587;2.410;2.410;N;;
paserstwo;U;1.346;3.769;2.346;2.846;4.192;8.230;6.546;7.783;7.360;5.953;5.607;5.607;N;;
pasieka;U;3.654;1.115;1.308;1.731;1.192;3.918;6.963;6.814;6.419;6.877;3.089;3.089;N;;
pasjonuj¹cy;U;4.962;1.269;1.269;1.423;1.154;2.518;7.269;7.266;7.127;7.367;4.244;2.518;H;;
paso¿yt;U;1.308;4.308;3.192;5.000;5.538;9.915;8.108;8.931;7.488;6.931;7.891;6.931;D;;
pasta;U;2.846;1.615;1.385;1.346;1.385;4.657;6.423;6.681;6.722;6.563;2.738;2.738;N;;
pasterz;U;3.308;1.154;1.538;1.385;1.115;4.054;6.700;6.331;6.419;6.725;2.705;2.705;N;;
pastor;N;2.077;1.423;1.769;1.885;1.808;5.647;6.417;6.173;6.046;6.088;2.404;2.404;N;;
pasywny;A;1.407;3.593;2.852;2.407;2.148;7.479;5.360;6.298;6.786;7.022;4.501;4.501;N;;
patelnia;U;2.885;1.885;1.308;1.462;1.269;4.721;6.019;6.625;6.475;6.619;2.678;2.678;N;;
paw;U;4.115;1.269;1.654;1.500;1.423;3.678;7.113;6.766;6.884;6.829;3.760;3.678;H;;
pazerny;U;1.333;5.000;3.222;2.704;4.370;8.966;6.164;7.713;8.178;6.804;6.657;6.164;A;;
paznokieæ;U;2.077;1.731;1.692;2.000;2.308;6.141;6.621;6.671;6.394;5.836;2.972;2.972;N;;
pazur;U;2.038;2.154;1.962;2.769;2.731;6.480;6.507;6.649;5.864;5.828;3.715;3.715;N;;
p¹k;U;4.370;1.259;1.333;1.222;1.185;2.959;6.953;6.907;6.998;7.031;3.604;2.959;H;;
pech;U;1.269;4.500;4.346;3.577;2.577;8.848;6.537;6.680;7.377;8.138;6.266;6.266;N;;
peda³;U;1.615;3.423;2.692;2.115;3.077;7.456;6.422;7.008;7.497;6.660;4.754;4.754;N;;
pedantyczny;A;2.296;3.074;1.667;2.185;2.074;6.109;5.338;6.849;6.416;6.519;3.943;3.943;N;;
peerelowski;U;1.962;3.385;3.346;3.038;3.308;7.547;6.675;6.683;6.889;6.677;5.386;5.386;N;;
pe³nia;U;4.741;1.222;1.815;1.963;1.000;3.270;7.448;6.927;6.818;7.611;4.311;3.270;H;;
pe³nomocnik;F;2.346;1.962;1.731;2.538;1.846;5.698;6.216;6.410;5.498;6.254;3.234;3.234;N;;
pensja;U;4.115;2.462;2.423;3.077;1.769;5.175;7.358;7.355;6.823;7.852;5.521;5.175;H;;
pensum;N;2.231;1.731;1.731;2.077;1.538;5.710;6.277;6.303;5.942;6.454;2.428;2.428;N;;
perfekcyjny;U;4.038;2.077;1.577;1.885;1.346;4.010;6.353;6.951;6.674;7.163;4.021;4.010;H;;
perfumy;H;5.111;1.259;1.222;1.148;1.407;2.409;7.313;7.342;7.402;7.193;4.276;2.409;H;;
per³owy;U;3.846;1.231;1.231;1.192;1.192;3.482;6.818;6.820;6.852;6.852;2.978;2.978;N;;
Pers;U;3.074;1.630;1.630;1.852;1.444;4.820;6.523;6.484;6.281;6.671;2.869;2.869;N;;
perspektywa;U;4.370;1.407;1.407;2.000;1.222;3.358;7.007;7.002;6.429;7.156;3.897;3.358;H;;
perwersyjny;U;3.037;1.815;1.704;2.444;2.333;5.293;6.775;6.887;6.227;6.256;3.920;3.920;N;;
pêcherz;U;1.308;1.769;1.346;1.654;2.462;6.373;5.859;6.342;6.044;5.096;2.265;2.265;N;;
pêdzel;N;2.154;1.269;1.231;1.346;1.231;5.157;6.218;6.215;6.151;6.242;1.575;1.575;N;;
pêdziæ;U;3.038;2.538;1.577;2.808;1.538;5.338;6.101;6.978;5.826;7.045;4.129;4.129;N;;
pêkaæ;U;1.778;2.741;2.704;2.926;2.148;6.839;5.991;6.085;5.858;6.634;4.055;4.055;N;;
pêpek;U;2.889;1.778;1.704;1.778;1.778;5.037;6.481;6.551;6.480;6.407;3.015;3.015;N;;
pêseta;N;1.667;1.370;1.481;1.926;1.778;6.115;6.444;6.394;5.914;6.064;1.937;1.937;N;;
piasek;U;3.846;1.615;1.192;1.231;1.346;3.507;6.459;6.901;6.858;6.772;3.279;3.279;N;;
piæ;U;4.500;1.923;2.077;1.885;1.769;3.992;7.249;7.129;7.283;7.378;4.783;3.992;H;;
pieczêtowaæ;U;2.846;1.462;1.269;2.000;1.538;4.782;6.509;6.739;5.883;6.409;3.026;3.026;N;;
piekarnik;U;3.654;1.385;1.654;2.192;1.154;4.338;7.093;6.888;6.346;7.250;3.485;3.485;N;;
piek³o;U;1.385;3.308;4.000;5.577;4.231;9.390;8.417;7.976;6.386;7.743;7.471;6.386;F;;
pielêgnacja;U;4.423;1.577;1.885;1.923;1.692;3.818;7.198;7.050;7.047;7.195;4.575;3.818;H;;
pielêgnowaæ;U;5.000;1.519;1.704;2.037;1.519;3.034;7.531;7.386;7.077;7.524;4.921;3.034;H;;
pielgrzymowaæ;U;3.593;1.185;1.593;2.074;1.407;4.248;7.091;6.690;6.199;6.897;3.536;3.536;N;;
pieni¹dze;U;4.704;1.889;1.667;2.074;1.741;3.667;7.199;7.402;7.068;7.324;4.653;3.667;H;;
pieñ;U;2.385;1.577;1.769;1.808;1.462;5.541;6.556;6.338;6.205;6.651;2.547;2.547;N;;
pierœ;U;4.269;1.500;1.423;1.654;1.192;3.448;7.106;7.216;7.027;7.380;3.911;3.448;H;;
pierœcionek;U;4.385;1.038;1.231;1.885;1.077;3.237;7.207;7.043;6.496;7.175;3.667;3.237;H;;
pies;U;4.846;1.346;1.731;2.192;1.423;3.512;7.528;7.244;6.838;7.475;4.736;3.512;H;;
pieœciæ;H;5.963;1.037;1.222;1.259;1.111;1.452;7.919;7.779;7.746;7.856;5.112;1.452;H;;
piêœæ;U;1.769;4.308;3.308;3.615;2.308;7.900;5.815;6.878;6.578;7.637;5.654;5.654;N;;
piêta;N;1.704;1.519;1.370;1.630;2.037;5.854;6.214;6.349;6.132;5.591;2.141;2.141;N;;
pigu³ka;U;2.154;2.692;2.654;3.692;2.731;7.024;7.028;7.080;6.010;6.926;4.924;4.924;N;;
pijany;U;1.615;3.231;3.769;3.231;4.308;8.429;7.397;6.922;7.396;6.170;6.229;6.170;D;;
pilnik;U;1.731;1.769;1.462;2.462;2.385;6.454;6.609;6.857;5.963;6.021;2.803;2.803;N;;
pilot;U;3.000;1.704;1.630;2.037;1.556;4.833;6.413;6.526;6.050;6.595;3.008;3.008;N;;
pi³a;F;1.852;2.185;1.926;3.259;2.037;6.437;6.422;6.661;5.169;6.595;3.911;3.911;N;;
pi³ka;U;4.077;1.615;1.538;1.615;1.269;3.649;6.720;6.766;6.679;7.014;3.623;3.623;N;;
pionek;U;2.077;2.885;2.808;2.500;1.962;6.743;6.341;6.307;6.672;7.165;4.151;4.151;N;;
piorun;F;2.333;2.074;1.852;3.963;1.815;6.383;6.928;7.073;4.796;7.129;4.403;4.403;N;;
piosenka;U;5.500;1.538;2.385;1.192;1.192;2.684;7.616;6.980;7.976;7.966;5.367;2.684;H;;
pióro;N;2.538;1.346;1.423;1.808;1.423;4.998;6.460;6.389;5.950;6.389;2.369;2.369;N;;
piracki;U;2.654;2.731;2.269;3.346;2.231;6.265;6.696;7.089;6.047;7.069;4.819;4.819;N;;
pirania;F;1.808;2.192;1.769;4.308;3.577;7.553;7.386;7.665;5.307;6.241;5.088;5.088;N;;
pisaæ;U;3.269;1.385;1.423;1.269;1.269;4.157;6.475;6.480;6.589;6.582;2.755;2.755;N;;
pisanka;U;4.115;1.115;1.154;1.077;1.385;3.133;7.022;6.982;7.058;6.659;3.468;3.133;H;;
pisklê;U;3.654;1.269;1.500;1.654;1.962;4.080;7.110;6.916;6.798;6.430;3.689;3.689;N;;
pistolet;U;1.769;3.231;3.154;4.808;3.308;8.211;7.445;7.570;5.834;7.394;6.170;5.834;F;;
piwnica;U;2.192;1.962;2.038;3.500;3.000;6.825;7.369;7.290;5.925;6.456;4.533;4.533;N;;
piwo;U;4.615;1.308;1.462;1.462;1.692;3.228;7.379;7.262;7.211;6.947;4.357;3.228;H;;
pizzeria;U;4.500;1.500;1.462;1.462;1.346;3.156;7.111;7.127;7.118;7.215;4.091;3.156;H;;
plaga;U;1.222;2.519;2.815;3.852;3.370;7.864;6.890;6.688;5.631;6.081;4.979;4.979;N;;
plagiat;U;1.038;4.885;3.423;3.423;3.962;9.217;6.366;7.637;7.601;7.229;6.505;6.366;A;;
plakat;U;3.111;2.074;1.519;1.407;1.593;4.879;6.162;6.759;6.830;6.661;3.150;3.150;N;;
plan;U;3.692;1.615;1.615;2.654;1.308;4.682;6.945;6.918;6.006;7.156;3.807;3.807;N;;
planeta;U;2.846;1.423;1.423;2.192;1.269;4.783;6.477;6.469;5.642;6.620;2.772;2.772;N;;
planowy;U;3.889;1.556;1.185;1.333;1.148;3.599;6.654;6.972;6.888;7.014;3.374;3.374;N;;
plantacja;U;3.615;1.308;1.654;1.692;1.346;4.072;6.881;6.597;6.563;6.867;3.301;3.301;N;;
plaster;U;2.346;1.808;1.885;1.885;1.731;5.514;6.170;6.061;6.042;6.266;2.795;2.795;N;;
platyna;U;3.963;1.444;1.370;1.519;1.444;3.508;6.787;6.854;6.725;6.738;3.537;3.508;H;;
pla¿a;U;5.577;1.615;1.885;1.538;1.731;2.727;7.817;7.587;7.875;7.710;5.505;2.727;H;;
plemiê;U;2.444;1.519;1.481;2.074;1.370;5.301;6.403;6.419;5.769;6.497;2.531;2.531;N;;
plon;U;3.692;1.462;1.500;1.962;1.423;3.984;6.826;6.801;6.354;6.827;3.629;3.629;N;;
plotkarski;U;1.346;4.115;2.154;2.423;4.115;8.078;5.765;7.596;7.359;5.739;5.395;5.395;N;;
pluæ;D;1.038;4.000;2.231;2.115;5.269;8.694;6.373;7.952;8.001;4.802;6.007;4.802;D;;
pluskwa;D;1.231;3.192;2.231;3.500;4.731;8.553;7.211;7.979;6.865;5.376;5.901;5.376;D;;
p³aciæ;U;2.296;3.000;2.815;2.778;1.741;6.414;6.047;6.239;6.183;7.198;4.305;4.305;N;;
p³akaæ;U;1.692;3.385;5.154;3.462;2.038;8.531;7.423;5.528;7.417;8.365;6.399;5.528;S;;
p³aszcz;U;2.385;1.846;1.923;1.654;1.846;5.692;6.605;6.476;6.762;6.598;3.051;3.051;N;;
p³atnoœæ;U;2.308;3.000;2.769;2.808;2.192;6.610;6.271;6.535;6.502;7.045;4.678;4.678;N;;
p³omienny;U;4.154;1.654;1.346;1.846;1.308;3.613;6.730;7.014;6.493;7.029;3.847;3.613;H;;
p³on¹æ;F;1.462;2.731;2.846;4.423;2.154;7.778;6.816;6.858;5.152;7.346;5.183;5.152;F;;
p³uco;U;2.000;1.962;2.115;2.731;2.538;6.462;6.845;6.743;6.037;6.224;3.947;3.947;N;;
p³yn¹æ;U;4.308;1.654;2.000;3.308;1.538;4.613;7.880;7.637;6.500;7.943;5.266;4.613;H;;
p³ynny;U;3.231;1.462;1.538;1.577;1.654;4.508;6.581;6.540;6.495;6.414;2.955;2.955;N;;
p³yta;U;3.654;1.231;1.385;1.231;1.115;3.740;6.840;6.688;6.835;6.927;2.907;2.907;N;;
pobo¿ny;U;3.038;2.654;2.115;1.846;1.885;5.453;6.019;6.628;6.919;6.858;4.041;4.041;N;;
pobudzenie;U;4.038;2.423;1.769;2.500;2.038;4.944;6.979;7.534;6.947;7.315;4.635;4.635;N;;
pobyt;U;3.923;1.231;1.462;1.846;1.346;3.820;6.982;6.791;6.433;6.877;3.432;3.432;N;;
pochopny;U;1.889;2.963;2.519;3.074;1.963;6.884;5.867;6.383;5.803;6.868;4.262;4.262;N;;
pochwa³a;H;5.222;1.519;1.296;1.370;1.222;2.183;7.264;7.470;7.398;7.539;4.667;2.183;H;;
poci¹gaj¹cy;U;4.346;1.500;1.385;2.231;1.269;3.705;7.143;7.192;6.494;7.274;4.088;3.705;H;;
pocieszaæ;U;4.115;2.000;3.577;2.269;1.423;4.890;7.456;5.899;7.269;7.860;5.305;4.890;H;;
pocz¹tek;U;3.231;1.538;1.846;2.654;1.385;5.009;6.918;6.653;5.856;7.037;3.539;3.539;N;;
podarowaæ;U;5.192;1.115;1.692;1.769;1.077;2.644;7.665;7.226;7.170;7.699;4.732;2.644;H;;
podatek;U;1.385;4.115;3.846;3.269;3.500;8.476;6.360;6.601;7.136;6.892;5.951;5.951;N;;
podawaæ;U;2.885;1.654;1.538;1.615;1.308;4.749;6.340;6.421;6.377;6.652;2.575;2.575;N;;
podejmowaæ;U;3.296;1.778;1.407;2.926;1.519;5.011;6.724;7.045;5.502;6.978;3.828;3.828;N;;
podejrzewaæ;U;1.615;4.385;3.538;4.500;3.692;8.806;6.864;7.577;6.677;7.425;6.667;6.667;N;;
podeszwa;U;1.500;1.615;1.192;1.385;2.308;6.162;6.032;6.462;6.289;5.202;1.947;1.947;N;;
podjadaæ;U;3.815;2.593;2.222;1.889;2.185;4.798;6.463;6.852;7.159;6.853;4.735;4.735;N;;
podkreœlaæ;N;2.519;1.704;1.370;1.741;1.407;5.087;6.107;6.466;6.068;6.431;2.385;2.385;N;;
pod³o¿e;N;2.000;1.385;1.385;1.462;1.423;5.409;6.161;6.161;6.051;6.104;1.574;1.574;N;;
pod³y;U;1.296;4.889;4.037;4.074;4.370;9.556;6.907;7.809;7.850;7.445;7.471;6.907;A;;
podminowany;U;1.333;3.296;3.259;3.407;2.593;8.032;6.422;6.278;6.391;7.190;5.163;5.163;N;;
podniecaj¹cy;U;5.222;1.444;1.333;1.704;1.333;2.694;7.372;7.452;7.107;7.426;4.672;2.694;H;;
podnosiæ;U;2.962;1.615;1.462;1.846;1.269;4.788;6.368;6.520;6.070;6.680;2.747;2.747;N;;
podpieraæ;U;2.556;1.667;2.037;2.259;1.481;5.315;6.474;6.090;5.862;6.614;3.097;3.097;N;;
podró¿;U;5.769;1.500;1.923;2.846;1.308;3.218;7.926;7.624;6.835;8.083;5.611;3.218;H;;
podró¿owaæ;U;5.692;1.231;1.500;2.346;1.192;2.759;7.916;7.709;7.048;7.916;5.262;2.759;H;;
podstawa;U;2.692;1.846;1.731;2.038;1.731;5.340;6.427;6.528;6.236;6.441;2.931;2.931;N;;
podstêp;U;1.593;4.889;3.148;4.556;4.148;9.080;6.649;8.176;7.039;7.388;7.113;6.649;A;;
podstêpny;U;1.500;3.615;2.577;3.692;3.038;7.692;6.005;6.935;5.773;6.507;5.146;5.146;N;;
poduszka;H;5.231;1.115;1.385;1.423;1.038;2.273;7.551;7.353;7.318;7.610;4.464;2.273;H;;
podwêdziæ;U;2.077;2.500;1.808;2.077;2.423;6.025;5.813;6.508;6.296;5.835;3.534;3.534;N;;
podziemny;U;1.731;1.846;3.000;3.731;2.615;7.509;7.528;6.526;5.873;6.937;4.609;4.609;N;;
podziêkowanie;U;4.731;1.192;1.269;1.346;1.115;2.728;7.220;7.180;7.102;7.297;3.956;2.728;H;;
pod¿egaæ;A;1.231;3.885;1.962;2.769;3.077;7.744;5.300;7.264;6.542;6.261;4.664;4.664;N;;
poetycki;U;4.154;1.654;2.423;1.615;1.308;4.211;7.034;6.417;7.102;7.273;4.119;4.119;N;;
poezja;U;4.346;2.038;2.769;2.154;2.000;4.513;7.575;6.949;7.490;7.555;5.221;4.513;H;;
pogrzebaæ;U;1.077;3.538;5.462;4.923;3.692;9.839;8.295;6.726;7.276;8.160;7.501;6.726;S;;
pointa;U;3.037;1.556;1.593;1.778;1.407;4.714;6.509;6.480;6.273;6.628;2.739;2.739;N;;
pojedynek;U;2.615;2.962;2.231;3.808;2.269;6.699;6.739;7.347;5.732;7.272;5.019;5.019;N;;
pojemnik;N;1.500;1.000;1.154;1.038;1.269;5.571;6.144;5.983;6.107;5.838;0.804;0.804;N;;
pojêtny;U;4.778;1.593;1.407;1.630;1.407;2.928;7.108;7.268;7.058;7.264;4.336;2.928;H;;
pojmowaæ;U;3.962;1.538;1.654;1.808;1.462;3.900;6.904;6.811;6.655;6.959;3.597;3.597;N;;
pokazywaæ;U;3.500;1.808;1.577;2.077;1.462;4.610;6.612;6.784;6.370;6.901;3.348;3.348;N;;
poker;U;3.192;1.731;1.615;2.692;1.577;4.963;6.796;6.891;5.885;6.915;3.818;3.818;N;;
pokorny;U;3.154;2.269;2.269;2.423;1.885;5.298;6.757;6.739;6.573;7.091;4.307;4.307;N;;
pokój;U;4.769;1.423;1.577;1.577;1.346;3.049;7.414;7.258;7.302;7.453;4.338;3.049;H;;
pokrywka;N;1.667;1.296;1.185;1.185;1.148;5.537;5.999;6.125;6.125;6.156;1.005;1.005;N;;
pokrzepienie;U;3.462;1.423;1.846;1.500;1.192;4.148;6.575;6.170;6.553;6.823;3.199;3.199;N;;
pokrzepiony;U;4.346;1.231;1.538;1.577;1.231;3.143;7.021;6.755;6.682;7.029;3.680;3.143;H;;
pokusa;U;3.462;2.231;1.846;3.308;1.846;5.407;6.727;7.096;5.647;7.107;4.627;4.627;N;;
pokutny;S;1.385;2.192;3.115;1.923;2.269;7.041;6.435;5.271;6.718;6.440;3.719;3.719;N;;
polana;H;5.462;1.346;1.500;1.808;1.346;2.410;7.632;7.513;7.240;7.632;4.941;2.410;H;;
polecaæ;U;4.077;1.615;1.577;1.654;1.462;3.614;6.880;6.904;6.833;6.985;3.857;3.614;H;;
polêdwica;U;3.962;1.308;1.308;1.308;1.731;3.445;6.927;6.923;6.914;6.410;3.698;3.445;H;;
policjant;F;1.654;2.038;1.654;2.692;1.885;6.436;6.121;6.531;5.467;6.245;2.882;2.882;N;;
policyjny;F;1.741;2.333;1.963;3.148;2.185;6.681;6.253;6.614;5.342;6.370;3.520;3.520;N;;
policzek;U;2.769;3.231;2.923;2.846;2.231;6.460;6.666;7.064;7.140;7.582;5.278;5.278;N;;
poligamiczny;U;2.154;2.308;1.962;2.423;2.962;6.408;6.413;6.779;6.465;5.803;4.000;4.000;N;;
polityka;U;1.808;4.154;3.038;3.269;4.346;8.370;6.653;7.520;7.393;6.269;6.443;6.269;D;;
po³o¿enie;N;2.423;1.654;1.577;1.962;1.308;5.212;6.199;6.290;5.862;6.501;2.422;2.422;N;;
po³udnie;U;3.192;1.462;1.538;1.385;1.154;4.177;6.437;6.401;6.543;6.758;2.854;2.854;N;;
po³ysk;U;4.231;1.538;1.346;1.615;1.346;3.520;6.867;7.003;6.796;6.989;3.808;3.520;H;;
pomagaæ;U;5.615;1.769;1.769;1.846;1.192;2.847;7.562;7.529;7.482;7.970;5.286;2.847;H;;
pomidorowy;U;4.269;1.192;1.077;1.077;1.231;2.909;6.933;7.049;7.059;6.892;3.415;2.909;H;;
pomieszczenie;N;2.192;1.577;1.500;1.654;1.308;5.274;5.987;6.102;5.973;6.333;2.128;2.128;N;;
pomijaæ;U;1.333;3.296;2.778;3.000;1.963;7.360;5.626;6.158;5.957;6.920;4.181;4.181;N;;
pomnik;U;3.038;1.615;2.308;1.654;1.385;4.925;6.556;5.860;6.527;6.704;3.094;3.094;N;;
pomocnik;U;4.148;1.852;1.852;2.407;1.741;4.313;7.035;7.067;6.526;7.177;4.335;4.313;H;;
pomocny;U;5.074;1.296;1.407;1.519;1.222;2.606;7.346;7.242;7.182;7.410;4.359;2.606;H;;
pomówienie;U;1.222;4.037;3.667;3.778;3.148;8.547;6.389;6.827;6.690;7.208;5.675;5.675;N;;
pompa;N;2.923;1.231;1.231;1.577;1.346;4.498;6.582;6.576;6.248;6.444;2.369;2.369;N;;
pomy³ka;U;1.500;4.385;3.577;3.538;2.692;8.216;5.913;6.679;6.709;7.546;5.920;5.913;A;;
pomys³;H;5.333;1.333;1.222;1.889;1.074;2.377;7.408;7.508;6.946;7.624;4.621;2.377;H;;
ponadczasowy;U;4.692;1.308;1.538;1.308;1.154;2.990;7.236;7.046;7.250;7.339;4.103;2.990;H;;
ponury;S;1.704;2.519;3.815;2.370;2.000;6.935;6.502;5.071;6.643;6.966;4.595;4.595;N;;
poñczocha;U;3.462;1.077;1.077;1.269;1.346;3.791;6.913;6.905;6.699;6.565;2.906;2.906;N;;
popielaty;U;1.923;1.462;2.577;1.885;1.885;6.129;6.743;5.568;6.352;6.321;2.929;2.929;N;;
popió³;U;1.852;1.815;2.481;2.519;2.037;6.459;6.626;5.970;5.998;6.403;3.186;3.186;N;;
popo³udnie;U;4.407;1.222;1.259;1.333;1.000;2.859;7.002;6.969;6.873;7.194;3.602;2.859;H;;
por;U;2.538;1.346;1.538;1.192;2.038;5.068;6.585;6.341;6.675;5.733;2.780;2.780;N;;
pora¿ka;U;1.111;5.296;5.519;5.407;3.593;10.486;7.815;7.644;7.656;9.002;8.434;7.644;S;;
poroniæ;U;1.269;4.500;5.885;5.269;3.500;10.354;8.429;7.154;7.850;9.064;8.476;7.154;S;;
porozumienie;U;4.423;1.615;1.385;1.846;1.385;3.517;7.040;7.258;6.914;7.244;4.248;3.517;H;;
poro¿e;U;2.481;1.815;1.852;2.000;2.444;5.800;6.766;6.752;6.530;6.061;3.435;3.435;N;;
port;U;4.077;1.192;1.962;1.500;1.154;3.606;7.054;6.376;6.776;7.068;3.574;3.574;N;;
portal;U;3.154;1.577;1.577;2.192;1.462;4.886;6.629;6.649;6.043;6.729;3.073;3.073;N;;
porto;N;2.741;1.593;1.778;1.519;1.333;5.124;6.380;6.207;6.432;6.577;2.370;2.370;N;;
porz¹dek;U;4.346;1.692;1.192;1.577;1.538;3.425;6.871;7.279;6.984;6.924;3.993;3.425;H;;
